debtor_id,age,gender,region,original_amount,days_past_due,collection_status,amount_recovered,outstanding_amount,strategy_used,contact_attempts,contact_success_count,recovery_time_days,credit_score,income_level,employment_status,loan_id,days_past_due_group,collection_rate,contact_efficiency
1,53,여성,성남시 분당구,37658485,200,성공,28832856,8825629,전화,6,1,142.0,704,6244,자영업,L0001,90일 이상,0.765640359669275,4805476.0
2,52,여성,음성군,36272042,303,실패,0,36272042,전화,11,0,,741,3811,자영업,L0002,90일 이상,0.0,0.0
3,38,남성,안산시 상록구,7108302,35,성공,5182647,1925655,문자,1,0,24.0,870,4956,직장인,L0003,30일~90일,0.7290977507708593,5182647.0
4,38,여성,철원군,3731265,272,실패,0,3731265,전화,10,0,,889,2462,무직,L0004,90일 이상,0.0,0.0
5,23,남성,정선군,49401770,121,실패,0,49401770,전화,3,0,,702,2566,직장인,L0005,90일 이상,0.0,0.0
6,51,남성,예산군,41440555,69,성공,20980360,20460195,문자,3,0,50.0,481,2810,무직,L0006,30일~90일,0.5062760380501661,6993453.333333333
7,57,남성,당진시,7676585,325,실패,0,7676585,전화,12,1,,641,3837,직장인,L0007,90일 이상,0.0,0.0
8,40,남성,금산군,34964796,251,성공,31509682,3455114,전화,10,0,158.0,479,2238,자영업,L0008,90일 이상,0.9011830642455343,3150968.2
9,62,남성,양양군,49415956,253,성공,40367796,9048160,전화,8,0,50.0,661,7945,무직,L0009,90일 이상,0.816898007599003,5045974.5
10,21,여성,포천시,44971358,268,성공,39163102,5808256,방문,9,0,245.0,774,6916,직장인,L0010,90일 이상,0.8708454390014195,4351455.777777778
11,56,여성,양평군,16783290,19,성공,15063044,1720246,문자,1,0,4.0,776,2350,직장인,L0011,30일 미만,0.897502456312201,15063044.0
12,53,남성,양평군,21115628,2,성공,11035557,10080071,문자,1,0,1.0,652,2894,직장인,L0012,30일 미만,0.5226250907621597,11035557.0
13,33,남성,안산시 단원구,37385150,105,실패,0,37385150,전화,2,0,,842,3050,자영업,L0013,90일 이상,0.0,0.0
14,66,남성,양양군,751670,286,실패,0,751670,전화,10,0,,522,5955,직장인,L0014,90일 이상,0.0,0.0
15,31,남성,청주시 상당구,41503065,234,실패,0,41503065,방문,7,1,,578,4634,직장인,L0015,90일 이상,0.0,0.0
16,32,남성,고양시,15487105,8,성공,13529221,1957884,문자,1,0,7.0,575,6965,직장인,L0016,30일 미만,0.8735797297170775,13529221.0
17,28,여성,원주시,24018348,314,실패,0,24018348,방문,10,0,,526,5730,직장인,L0017,90일 이상,0.0,0.0
18,53,남성,홍성군,37975541,43,성공,34073044,3902497,전화,1,0,29.0,407,2568,직장인,L0018,30일~90일,0.8972365660307512,34073044.0
19,45,남성,예산군,33210792,336,실패,0,33210792,전화,13,0,,844,4793,직장인,L0019,90일 이상,0.0,0.0
20,48,여성,광명시,34317744,80,실패,0,34317744,문자,4,0,,587,6196,직장인,L0020,30일~90일,0.0,0.0
21,54,여성,고양시,20972115,144,실패,0,20972115,전화,6,0,,740,7359,무직,L0021,90일 이상,0.0,0.0
22,59,여성,용인시 처인구,11047626,12,성공,10722809,324817,문자,3,0,10.0,853,6591,직장인,L0022,30일 미만,0.9705984797095775,3574269.6666666665
23,29,여성,부천시,47013672,223,실패,0,47013672,방문,8,0,,854,2147,자영업,L0023,90일 이상,0.0,0.0
24,43,여성,가평군,31282245,350,실패,0,31282245,전화,12,1,,438,6501,직장인,L0024,90일 이상,0.0,0.0
25,45,남성,안산시,17136710,187,성공,16063864,1072846,전화,8,0,178.0,832,4642,직장인,L0025,90일 이상,0.9373948675095745,2007983.0
26,36,남성,횡성군,32009017,269,성공,18652655,13356362,방문,9,0,194.0,526,4430,직장인,L0026,90일 이상,0.5827312660054509,2072517.2222222222
27,50,남성,부천시 오정구,47928103,69,실패,0,47928103,문자,4,0,,845,6330,직장인,L0027,30일~90일,0.0,0.0
28,47,여성,구리시,13914133,125,성공,7045470,6868663,전화,5,0,120.0,643,4675,직장인,L0028,90일 이상,0.5063535040235708,1409094.0
29,29,남성,청양군,8531109,58,실패,0,8531109,문자,4,1,,753,2237,직장인,L0029,30일~90일,0.0,0.0
30,31,남성,강릉시,34917265,55,성공,21443831,13473434,전화,3,0,32.0,440,5684,직장인,L0030,30일~90일,0.6141326074651036,7147943.666666667
31,26,여성,당진시,32752842,58,성공,21415553,11337289,문자,1,0,25.0,816,5074,직장인,L0031,30일~90일,0.6538532747784146,21415553.0
32,27,여성,파주시,32761472,101,성공,23731643,9029829,방문,4,0,49.0,588,6649,직장인,L0032,90일 이상,0.724376578683644,5932910.75
33,38,남성,고양시 일산동구,36258266,154,성공,36113928,144338,전화,4,0,51.0,741,3387,직장인,L0033,90일 이상,0.9960191698080653,9028482.0
34,58,남성,수원시,40760448,8,성공,23467609,17292839,문자,1,0,1.0,946,6045,자영업,L0034,30일 미만,0.5757446287145813,23467609.0
35,67,여성,강릉시,16732856,362,성공,11978613,4754243,전화,13,0,255.0,854,6104,직장인,L0035,90일 이상,0.7158737874753718,921431.7692307692
36,54,여성,속초시,36401635,89,성공,18322950,18078685,문자,4,0,71.0,766,6884,직장인,L0036,30일~90일,0.5033551377568617,4580737.5
37,38,남성,오산시,40599210,190,실패,0,40599210,전화,6,0,,802,2002,직장인,L0037,90일 이상,0.0,0.0
38,34,여성,보령시,37342388,275,실패,0,37342388,전화,9,2,,873,7265,자영업,L0038,90일 이상,0.0,0.0
39,40,남성,안산시,899845,2,실패,0,899845,문자,2,0,,661,3723,무직,L0039,30일 미만,0.0,0.0
40,46,여성,청주시 청원구,17313604,164,성공,15709899,1603705,전화,6,0,116.0,536,4695,직장인,L0040,90일 이상,0.9073731269353279,2618316.5
41,32,여성,청주시 상당구,8737730,145,성공,8392398,345332,전화,7,0,20.0,618,6380,직장인,L0041,90일 이상,0.9604780646689701,1198914.0
42,29,남성,수원시 권선구,32467368,68,성공,22421556,10045812,전화,3,0,28.0,894,4263,직장인,L0042,30일~90일,0.6905874230396502,7473852.0
43,37,남성,동해시,48629812,28,성공,37930879,10698933,전화,2,0,17.0,650,5813,직장인,L0043,30일 미만,0.7799923018415124,18965439.5
44,33,남성,태백시,8433706,226,성공,6734059,1699647,전화,9,0,197.0,632,5816,직장인,L0044,90일 이상,0.7984697356061499,748228.7777777778
45,55,여성,수원시,27540858,287,실패,0,27540858,전화,11,0,,934,6488,자영업,L0045,90일 이상,0.0,0.0
46,41,남성,안산시 단원구,29368211,261,실패,0,29368211,방문,8,1,,710,6872,직장인,L0046,90일 이상,0.0,0.0
47,59,남성,안성시,6982025,58,성공,6738808,243217,문자,1,0,27.0,807,6600,직장인,L0047,30일~90일,0.965165263659182,6738808.0
48,32,남성,보령시,19292115,106,실패,0,19292115,전화,3,0,,496,7106,자영업,L0048,90일 이상,0.0,0.0
49,31,여성,고양시 일산동구,23998190,265,실패,0,23998190,전화,8,0,,739,3938,직장인,L0049,90일 이상,0.0,0.0
50,21,여성,예산군,6964346,203,실패,0,6964346,전화,7,1,,695,2679,직장인,L0050,90일 이상,0.0,0.0
51,22,남성,태백시,35266140,211,성공,25234832,10031308,방문,9,0,137.0,528,5555,직장인,L0051,90일 이상,0.7155541264226819,2803870.222222222
52,40,여성,춘천시,34534137,48,성공,23913646,10620491,문자,2,0,31.0,785,7417,자영업,L0052,30일~90일,0.6924639813642947,11956823.0
53,66,여성,가평군,32287651,73,실패,0,32287651,문자,5,3,,628,4540,직장인,L0053,30일~90일,0.0,0.0
54,25,여성,음성군,13494886,255,성공,9124802,4370084,방문,10,0,228.0,467,5600,직장인,L0054,90일 이상,0.6761674014882378,912480.2
55,62,여성,아산시,49680258,179,성공,38966897,10713361,방문,7,0,149.0,848,5752,직장인,L0055,90일 이상,0.7843537567779942,5566699.571428572
56,48,여성,김포시,1635899,162,성공,960440,675459,방문,6,0,85.0,783,5439,자영업,L0056,90일 이상,0.5871022599805978,160073.33333333334
57,25,여성,태백시,43148673,361,성공,33476401,9672272,방문,14,3,79.0,788,2604,직장인,L0057,90일 이상,0.775838482912325,2391171.5
58,30,여성,동해시,10010131,208,성공,5473863,4536268,전화,7,0,171.0,477,7762,무직,L0058,90일 이상,0.5468323041926224,781980.4285714285
59,40,남성,가평군,31405146,45,실패,0,31405146,문자,3,1,,542,7599,직장인,L0059,30일~90일,0.0,0.0
60,41,남성,양주시,22758659,270,실패,0,22758659,전화,10,1,,936,4366,직장인,L0060,90일 이상,0.0,0.0
61,35,남성,청양군,23623918,223,실패,0,23623918,전화,8,0,,644,7417,자영업,L0061,90일 이상,0.0,0.0
62,50,남성,금산군,41894899,303,실패,0,41894899,방문,12,0,,429,4748,자영업,L0062,90일 이상,0.0,0.0
63,23,남성,안산시,12536763,145,성공,11955265,581498,방문,7,0,94.0,562,6142,직장인,L0063,90일 이상,0.9536165755067716,1707895.0
64,51,남성,태안군,26551776,176,실패,0,26551776,전화,7,0,,775,7643,직장인,L0064,90일 이상,0.0,0.0
65,32,여성,안양시 만안구,7032614,21,성공,6245990,786624,문자,2,0,15.0,424,6620,무직,L0065,30일 미만,0.8881462852930646,3122995.0
66,53,여성,안산시,8955096,36,성공,8333893,621203,전화,1,0,26.0,935,2779,직장인,L0066,30일~90일,0.9306313410822173,8333893.0
67,36,남성,용인시 수지구,16092999,185,성공,14080264,2012735,전화,7,0,78.0,435,2597,직장인,L0067,90일 이상,0.8749310181402484,2011466.2857142857
68,63,남성,성남시 중원구,44280739,298,성공,27041486,17239253,전화,11,2,275.0,562,2927,직장인,L0068,90일 이상,0.6106828072584787,2458316.909090909
69,45,여성,보은군,17997180,202,성공,14057363,3939817,방문,6,0,7.0,749,7931,무직,L0069,90일 이상,0.7810869814048645,2342893.8333333335
70,29,여성,단양군,26867113,168,실패,0,26867113,전화,7,0,,888,2989,직장인,L0070,90일 이상,0.0,0.0
71,67,여성,연천군,32653643,38,성공,18785683,13867960,문자,4,0,1.0,790,2399,무직,L0071,30일~90일,0.5753012918037966,4696420.75
72,30,여성,충주시,11841924,253,성공,9370450,2471474,전화,8,1,83.0,490,2275,자영업,L0072,90일 이상,0.7912945565264563,1171306.25
73,32,여성,여주시,27996626,305,실패,0,27996626,방문,12,0,,905,5265,직장인,L0073,90일 이상,0.0,0.0
74,47,여성,양구군,37955474,149,실패,0,37955474,전화,6,1,,760,3080,직장인,L0074,90일 이상,0.0,0.0
75,35,여성,안양시 동안구,4714687,205,실패,0,4714687,전화,8,0,,474,3523,자영업,L0075,90일 이상,0.0,0.0
76,63,여성,청주시 흥덕구,25872808,364,실패,0,25872808,전화,13,0,,518,4972,직장인,L0076,90일 이상,0.0,0.0
77,59,남성,수원시 팔달구,16128314,204,성공,14010819,2117495,전화,6,0,93.0,804,3886,직장인,L0077,90일 이상,0.8687094633698228,2335136.5
78,63,여성,부여군,30731279,306,실패,0,30731279,방문,8,1,,603,4955,직장인,L0078,90일 이상,0.0,0.0
79,48,여성,청주시 흥덕구,44359277,275,실패,0,44359277,전화,11,0,,437,5290,직장인,L0079,90일 이상,0.0,0.0
80,49,남성,영동군,48497255,80,성공,32753225,15744030,문자,4,0,31.0,421,4847,직장인,L0080,30일~90일,0.6753624509263463,8188306.25
81,28,여성,청양군,42813934,204,성공,23261724,19552210,방문,7,0,144.0,588,2952,무직,L0081,90일 이상,0.5433213401973293,3323103.4285714286
82,41,여성,용인시,32250123,63,실패,0,32250123,전화,3,1,,804,2204,직장인,L0082,30일~90일,0.0,0.0
83,25,여성,서천군,46623623,105,실패,0,46623623,전화,4,0,,760,4978,무직,L0083,90일 이상,0.0,0.0
84,63,여성,논산시,9430964,171,성공,6483823,2947141,방문,6,1,96.0,476,2698,자영업,L0084,90일 이상,0.687503737687897,1080637.1666666667
85,53,남성,계룡시,18779934,100,성공,16668699,2111235,전화,4,0,51.0,853,5056,직장인,L0085,90일 이상,0.887580275841225,4167174.75
86,63,여성,제천시,6353893,340,성공,5922756,431137,전화,11,0,245.0,915,7166,직장인,L0086,90일 이상,0.9321460087540032,538432.3636363636
87,31,남성,수원시 장안구,41506785,282,실패,0,41506785,방문,10,0,,609,2097,직장인,L0087,90일 이상,0.0,0.0
88,45,남성,동해시,33445002,309,실패,0,33445002,방문,12,2,,581,6078,무직,L0088,90일 이상,0.0,0.0
89,21,남성,속초시,42288883,258,성공,25488033,16800850,전화,10,0,6.0,408,2383,무직,L0089,90일 이상,0.602712372421849,2548803.3
90,34,여성,고양시 일산동구,5883642,114,성공,4180142,1703500,전화,5,0,34.0,662,3692,직장인,L0090,90일 이상,0.7104684479443175,836028.4
91,22,남성,공주시,44704997,184,실패,0,44704997,전화,7,0,,757,2814,직장인,L0091,90일 이상,0.0,0.0
92,49,여성,양양군,26001112,308,실패,0,26001112,전화,10,0,,671,5171,무직,L0092,90일 이상,0.0,0.0
93,65,여성,용인시,23073746,43,성공,17451646,5622100,문자,1,0,17.0,583,6911,자영업,L0093,30일~90일,0.7563421214743371,17451646.0
94,68,여성,부천시 원미구,38293059,39,성공,27061774,11231285,전화,2,0,9.0,747,7729,자영업,L0094,30일~90일,0.7067018072387479,13530887.0
95,30,남성,성남시,36807978,215,실패,0,36807978,전화,8,0,,792,3016,무직,L0095,90일 이상,0.0,0.0
96,31,남성,수원시,16935926,58,성공,16648962,286964,문자,3,1,52.0,608,3051,자영업,L0096,30일~90일,0.9830559014015531,5549654.0
97,68,남성,파주시,37142476,29,성공,32178190,4964286,문자,2,0,19.0,427,3621,직장인,L0097,30일 미만,0.8663447746456105,16089095.0
98,27,남성,정선군,3604229,317,실패,0,3604229,방문,12,0,,768,5128,자영업,L0098,90일 이상,0.0,0.0
99,33,남성,부천시 오정구,12207952,308,성공,11211975,995977,전화,9,0,88.0,795,6085,직장인,L0099,90일 이상,0.9184157178861778,1245775.0
100,60,여성,용인시,23404262,174,실패,0,23404262,전화,6,0,,461,2883,직장인,L0100,90일 이상,0.0,0.0
101,68,여성,화성시,44207170,305,실패,0,44207170,전화,12,1,,940,7832,무직,L0101,90일 이상,0.0,0.0
